Estação;N__Lab_;X;Y;Folha;Ag (ppm);Al (%);As (ppm);Ba (ppm);Be (ppm);Bi (ppm);Ca (%);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Fe (%);Ga (ppm);Hf (ppm);Hg (ppm);In (ppm);K (%);La (ppm);Li (ppm);LREE (ppm);Mg (%);Mn (ppm);Mo (ppm);Nb (ppm);Ni (ppm);P (ppm);Pb (ppm);Rb (ppm);Sb (ppm);Sc (ppm);Sn (ppm);Sr (ppm);Th (ppm);Ti (%);U (ppm);V (ppm);W (ppm);Y (ppm);Zn (ppm);Zr (ppm)
AC-0002;CDE225;248757;7972050;Coromandel;0.03;2.63;4.0;76.0;1.0;0.31;0.05;0.03;57.37;20.1;35;3.31;25.0;5.2;9.9;0.15;0.03;0.04;0.13;16.8;6.0;74.17;0.07;914;0.62;0.64;14.8;404.0;14.1;20.8;0.2;8.5;1.5;3.3;7.4;0.03;0.7;73;0.3;13.15;27;6.3
AC-0003;CDE226;244460;7973135;Coromandel;0.02;1.93;2.0;84.0;1.7;0.29;0.04;0.01;59.14;9.0;35;3.97;39.3;2.74;8.3;0.21;0.02;0.04;0.37;29.3;9.0;88.44;0.34;226;0.42;0.87;17.0;312.0;13.3;43.9;0.41;8.0;1.6;3.1;8.2;0.06;0.94;58;0.3;23.9;58;6.9
AC-0004;CDE227;244044;7970217;Coromandel;0.04;1.47;3.0;70.0;0.7;0.19;0.11;0.06;39.88;10.3;40;1.73;20.1;2.49;5.7;0.07;0.04;0.04;0.15;16.7;5.0;56.58;0.1;501;0.38;0.75;10.4;353.0;10.2;17.1;0.18;7.2;0.9;3.9;5.4;0.04;0.65;55;0.2;10.4;34;1.8
AC-0005;CDE228;242895;7970593;Coromandel;0.05;1.72;23.0;80.0;1.1;0.32;0.04;0.08;55.91;12.8;42;2.12;20.6;3.47;6.5;0.11;0.05;0.03;0.21;18.7;3.0;74.61;0.09;427;0.5;1.48;14.2;257.0;20.6;21.2;0.22;7.2;1.1;3.1;6.9;0.04;1.01;66;0.7;9.34;27;4.1
AC-0006;CDE229;242999;7971416;Coromandel;0.04;0.97;7.0;56.0;0.5;0.22;0.03;0.05;40.34;7.0;29;1.42;14.8;2.11;3.8;0.05;0.04;0.04;0.14;16.5;2.0;56.84;0.06;190;0.42;1.22;8.8;262.0;9.7;15.0;0.15;4.3;0.7;2.5;5.7;0.05;0.82;41;0.4;7.45;28;1.5
AC-0007;CDE230;241370;7972437;Coromandel;0.03;1.26;7.0;67.0;1.0;0.22;0.05;0.05;40.92;9.7;30;1.69;16.5;2.64;4.8;0.07;0.02;0.02;0.17;17.2;3.0;58.12;0.08;315;0.43;1.67;9.5;284.0;9.5;16.7;0.16;5.1;0.8;3.7;5.8;0.05;0.88;45;0.3;8.13;29;2.5
AC-0008;CDE231;238883;7971371;Coromandel;0.03;1.14;9.0;56.0;1.2;0.24;0.05;0.03;48.0;11.2;29;2.85;16.5;3.33;4.6;0.11;0.01;0.02;0.3;18.9;1.0;66.9;0.17;318;0.39;0.6;12.6;153.0;11.9;51.7;0.16;4.8;0.6;2.6;6.7;0.05;0.65;49;0.2;7.68;47;3.3
AC-0009;CDE232;237248;7974409;Coromandel;0.04;1.3;8.0;73.0;0.7;0.18;0.09;0.07;43.47;10.1;34;1.3;17.0;2.9;5.4;0.07;0.06;0.02;0.17;19.6;2.0;63.07;0.09;452;0.37;0.62;10.1;230.0;11.0;15.5;0.21;8.6;0.7;5.2;5.5;0.04;0.62;79;0.3;12.61;34;2.3
AC-0010A;CDE233;238094;7975248;Coromandel;0.04;0.78;3.0;48.0;0.4;0.13;0.04;0.05;26.33;5.7;17;1.01;11.4;1.64;3.0;0.06;0.01;0.02;0.14;11.5;2.0;37.83;0.06;250;0.31;0.58;7.3;207.0;7.5;12.2;0.14;2.8;0.5;2.8;3.8;0.02;0.44;25;0.2;5.93;26;3.3
AC-0011;CDE234;238221;7979000;Coromandel;0.04;0.86;4.0;65.0;0.5;0.13;0.05;0.04;37.46;7.2;17;1.0;12.7;2.18;3.2;0.05;0.02;0.02;0.15;18.0;2.0;55.46;0.06;466;0.52;0.45;6.6;204.0;8.8;14.6;0.16;3.9;0.7;4.0;6.1;0.02;0.72;26;0.2;11.2;20;1.2
AC-0012;CDE235;246184;7976334;Coromandel;0.08;1.6;3.0;75.0;1.0;0.28;0.04;0.02;59.93;13.4;38;2.64;22.3;3.4;6.8;0.11;0.03;0.05;0.17;22.2;7.0;82.13;0.1;294;0.41;0.5;17.0;190.0;12.2;18.8;0.17;6.9;1.1;3.7;7.2;0.04;0.63;50;0.5;13.7;44;4.6
AC-0013;CDE236;245232;7976660;Coromandel;0.05;0.54;2.0;35.0;0.4;0.11;0.02;0.07;21.62;3.5;17;0.7;8.8;1.24;2.1;0.1;0.05;0.02;0.13;9.4;1.0;31.02;0.06;105;0.29;0.32;6.4;130.0;9.0;9.4;0.14;1.8;0.5;2.4;3.4;0.02;0.34;19;0.1;3.88;18;4.7
AC-0014;CDE237;249035;7976990;Coromandel;0.03;0.97;2.0;52.0;0.3;0.14;0.03;0.04;36.49;2.9;18;0.94;17.4;1.32;3.6;0.07;0.01;0.03;0.16;16.0;3.0;52.49;0.06;128;0.34;0.34;6.4;109.0;10.7;12.3;0.15;2.9;0.6;3.0;5.3;0.01;0.58;29;0.1;5.98;17;3.0
