sample_id;hole_id;depth_from;depth_to;litho_reclass;SiO2_pct;TiO2_pct;Al2O3_pct;Cr2O3_pct;Fe_pct;Mn_pct;CaO_pct;MgO_pct;Na2O_pct;K2O_pct;BaO_pct;P_pct;loi_pct;As_pct;Cl_pct;Co_pct;Cu_pct;Ni_pct;Pb_pct;S_pct;Sn_pct;Sr_pct;V_pct;Zn_pct;Zr_pct;total_pct;FeO_pct;mag_pct
AMOSTRA_1001;;;;;97,4000;0,0300;0,0900;0,0040;0,6200;0,0050;0,1100;0,0500;0,0050;0,0270;;0,0030;-0,1000;0,0001;0,0030;0,0020;;;;0,0030;0,0001;0,0010;0,0010;;;98,5300;0,7200;1,3400
AMOSTRA_1002;;;;;54,2000;0,0200;0,4900;;30,1800;0,0790;0,0200;0,0500;;0,0110;0,0020;0,0720;2,1500;0,0010;0,0030;0,0020;0,0020;0,0020;0,0030;;0,0001;;0,0020;0,0030;0,0020;100,4000;1,3900;
AMOSTRA_1003;DrillHole_0005;0,0000;1,5000;;56,8000;0,2000;6,6600;0,0090;20,2800;0,3040;0,4100;0,8300;0,2920;0,9200;0,0250;0,0230;4,4100;0,0001;0,0080;0,0020;0,0060;0,0040;;0,0050;0,0001;0,0030;0,0030;0,0120;0,0070;100,1000;2,3600;6,1500
AMOSTRA_1004;DrillHole_0005;1,5000;2,7500;Rocha Calcissilicatica Nao Magnetitoetica;47,5000;0,8800;13,2500;0,0370;9,1500;0,8950;3,9500;10,4000;0,9290;1,0900;0,0760;0,0100;7,5000;0,0001;0,1160;0,0050;0,0060;0,0090;0,0040;0,0100;0,0001;0,0190;0,0100;0,0230;0,0270;100,1000;0,7900;0,6300
AMOSTRA_1005;DrillHole_0005;2,7500;4,0000;Rocha Calcissilicatica Nao Magnetitoetica;63,1000;0,3600;4,9900;0,0200;11,3200;0,3930;4,5700;5,5000;0,4320;0,2860;0,0190;0,0130;4,4100;0,0010;0,0900;0,0040;0,0100;0,0100;0,0080;0,0120;0,0010;0,0100;0,0060;0,0210;0,0110;100,6000;2,3300;1,1600
AMOSTRA_1006;DrillHole_0005;4,0000;5,0000;Rocha Calcissilicatica Nao Magnetitoetica;49,1000;0,5200;9,1200;0,0270;18,7800;0,3190;1,1800;3,1400;0,3260;2,0500;0,0330;0,0300;6,5700;0,0001;0,2040;0,0050;0,0360;0,0130;0,0070;0,0420;0,0001;0,0080;0,0100;0,0230;0,0170;99,7000;0,7200;0,6400
AMOSTRA_1007;DrillHole_0005;5,0000;6,0000;Rocha Calcissilicatica Nao Magnetitoetica;53,5000;0,6700;10,4500;0,0310;14,1000;0,3760;1,6400;3,7500;0,4950;2,8400;0,0270;0,0230;5,7400;0,0001;0,2040;0,0040;0,0180;0,0130;0,0030;0,0270;0,0001;0,0070;0,0100;0,0520;0,0180;100,1000;0,7800;0,5300
AMOSTRA_1008;DrillHole_0005;6,0000;7,0000;Rocha Calcissilicatica Nao Magnetitoetica;56,8000;0,6300;11,9000;0,0230;10,4100;0,5490;1,7900;3,6200;0,6370;3,4200;0,0380;0,0100;5,0600;0,0001;0,2000;0,0050;0,0110;0,0070;0,0050;0,0040;0,0001;0,0070;0,0080;0,0350;0,0180;99,7200;0,7500;0,7200
AMOSTRA_1009;DrillHole_0005;7,0000;8,0000;Rocha Calcissilicatica Nao Magnetitoetica;15,3000;0,2000;3,6300;0,0080;4,0100;1,1950;35,8000;6,1000;0,1250;0,0530;0,0140;0,0210;31,7000;0,0001;0,1110;0,0040;;0,0050;0,0020;0,0080;0,0060;0,0050;0,0060;0,0140;0,0070;100,4500;;1,0500
AMOSTRA_1010;DrillHole_0005;8,0000;9,0000;Rocha Calcissilicatica Nao Magnetitoetica;9,2800;0,1400;2,2900;0,0080;2,9000;0,9320;;3,4500;0,0620;0,0150;0,0170;0,0210;35,7500;0,0001;0,0760;0,0030;;0,0040;0,0020;0,0090;0,0060;0,0050;0,0050;0,0100;0,0050;100,1500;;0,8400
AMOSTRA_1011;DrillHole_0005;9,0000;10,0000;Rocha Calcissilicatica Nao Magnetitoetica;12,8000;0,2000;2,7900;0,0050;3,6900;0,8630;;3,7300;0,0480;0,0730;0,0190;0,0350;33,3200;0,0001;0,0610;0,0030;;0,0010;0,0010;0,0040;0,0080;0,0070;0,0050;0,0100;0,0070;100,0000;;0,8300
AMOSTRA_1012;DrillHole_0005;10,0000;11,0000;Rocha Calcissilicatica Nao Magnetitoetica;9,1200;0,1400;2,3500;0,0040;3,2400;0,9320;;3,5900;;0,0070;0,0120;0,0190;35,7200;0,0001;0,0300;0,0030;;0,0010;0,0020;0,0040;0,0090;0,0030;0,0040;0,0130;0,0050;100,3000;;0,7300
AMOSTRA_1013;DrillHole_0005;11,0000;12,0000;Rocha Calcissilicatica Nao Magnetitoetica;11,8000;0,2100;3,2800;0,0100;2,9900;0,8920;;4,7700;0,0250;0,0420;0,0160;0,0270;33,6400;0,0001;0,0420;0,0030;;0,0050;0,0040;0,0050;0,0090;0,0040;0,0050;0,0120;0,0070;100,2500;;0,7400
AMOSTRA_1014;DrillHole_0005;12,0000;13,0000;Rocha Calcissilicatica Nao Magnetitoetica;9,3200;0,1500;2,7200;0,0050;3,0600;1,0400;;3,9700;;0,0290;0,0130;0,0210;35,5700;0,0001;0,0190;0,0040;;0,0020;0,0050;0,0030;0,0080;0,0030;0,0050;0,0140;0,0060;100,6000;;0,7200
AMOSTRA_1015;DrillHole_0005;13,0000;14,0000;Rocha Calcissilicatica Nao Magnetitoetica;11,4500;0,1700;2,9500;0,0180;3,0200;1,0350;;4,6600;;0,0260;0,0210;0,0210;34,2600;0,0010;0,0200;0,0040;;0,0200;0,0060;0,0020;0,0080;0,0030;0,0050;0,0180;0,0070;100,8500;;0,7300
AMOSTRA_1016;DrillHole_0005;14,0000;15,0000;Rocha Calcissilicatica Nao Magnetitoetica;11,7000;0,2000;3,3400;0,0170;3,8500;0,9890;40,0000;4,7100;;0,0210;0,0120;0,0230;33,3600;0,0001;0,0210;0,0040;0,0010;0,0130;0,0040;0,0010;0,0090;0,0020;0,0050;0,0180;0,0070;100,3500;0,0700;1,3400
AMOSTRA_1017;DrillHole_0005;15,0000;16,0000;Rocha Calcissilicatica Magnetica;11,4500;0,1800;2,9600;0,0090;3,8500;0,9290;39,4000;5,8100;;0,0270;0,0130;0,0210;33,9300;0,0001;0,0220;0,0040;0,0010;0,0090;0,0060;0,0020;0,0080;0,0050;0,0050;0,0150;0,0070;100,7000;;1,5400
AMOSTRA_1018;DrillHole_0005;16,0000;17,0000;Rocha Calcissilicatica Nao Magnetitoetica;31,5000;0,1300;2,1500;0,0080;11,2600;0,5910;22,5000;4,7400;0,0090;0,0950;0,0080;0,0210;21,5900;0,0001;0,0320;0,0040;0,0320;0,0100;;0,0050;0,0020;0,0010;0,0050;0,0160;0,0040;99,8100;0,2600;0,9200
AMOSTRA_1019;DrillHole_0005;17,0000;18,0000;Rocha Calcissilicatica Nao Magnetitoetica;34,1000;0,2400;4,8900;0,0150;13,5000;0,5580;19,0500;3,5300;0,2650;1,3550;0,0120;0,0360;16,3100;0,0001;0,1140;0,0050;0,0330;0,0130;0,0010;0,0040;0,0020;0,0030;0,0060;0,0220;0,0070;100,0500;1,1900;0,4200
