Hole Identificador;Zone Utm;x;y;Elevation;Depth m;Dip;Azimute
DrillHole_0001;SIRGAS2000 - 24S;182038,41;9325551,3;243,89;87,91;-60;132
DrillHole_0002;SIRGAS2000 - 24S;182000,37;9325583,08;242,32;107,4;-60;132
DrillHole_0003;SIRGAS2000 - 24S;182001,47;9325517,67;239,31;87,11;-60;132
DrillHole_0004;SIRGAS2000 - 24S;181968,83;9325577,4;239,7;75,91;-60;132
DrillHole_0005;SIRGAS2000 - 24S;182058,91;9325589,29;248,35;98,54;-60;132
DrillHole_0006;SIRGAS2000 - 24S;182040,93;9325615,54;246,49;113,14;-60;132
DrillHole_0007;SIRGAS2000 - 24S;182586,75;9324746,01;210,52;56,53;-60;132
DrillHole_0008;SIRGAS2000 - 24S;182546,63;9324779,92;210,65;63,51;-60;132
DrillHole_0009;SIRGAS2000 - 24S;182656,31;9324814,61;217,5;52,11;-60;132
DrillHole_0010;SIRGAS2000 - 24S;182626,17;9324838,99;215,7;70,82;-60;132
DrillHole_0011;SIRGAS2000 - 24S;182756,13;9324816,01;227,1;50,53;-60;132
DrillHole_0012;SIRGAS2000 - 24S;182700,28;9324862,88;220,65;72,77;-60;132
DrillHole_0013;SIRGAS2000 - 24S;182846,58;9324867,71;233,35;73,67;-60;132
DrillHole_0014;SIRGAS2000 - 24S;182786,67;9324920,86;218,8;85,33;-60;132
DrillHole_0015;SIRGAS2000 - 24S;183013,61;9324993,96;235,42;107,05;-60;132
DrillHole_0016;SIRGAS2000 - 24S;182974,16;9325029,51;232,61;140,56;-60;132
DrillHole_0017;SIRGAS2000 - 24S;182925,54;9324948,42;236,64;100,58;-60;132
DrillHole_0018;SIRGAS2000 - 24S;182866,56;9324997,73;220,53;140,18;-60;132
DrillHole_0019;SIRGAS2000 - 24S;183079,32;9325024,9;232,98;109,18;-90;0
DrillHole_0020;SIRGAS2000 - 24S;183069,88;9325064,66;228,86;101,7;-60;132
DrillHole_0021;SIRGAS2000 - 24S;183079,03;9325044,85;230,56;86,04;-60;132
DrillHole_0022;SIRGAS2000 - 24S;182278,7;9325991,69;216,27;81,47;-90;0
DrillHole_0023;SIRGAS2000 - 24S;182847,31;9324867,13;233,41;68,2;-90;0
DrillHole_0024;SIRGAS2000 - 24S;182086,58;9325548,99;250,89;69,81;-90;0
DrillHole_0025;SIRGAS2000 - 24S;181970,27;9325576,19;239,8;41,25;-60;132
DrillHole_0026;SIRGAS2000 - 24S;181969,5;9325570,5;239,44;126,26;-60;132
DrillHole_0027;SIRGAS2000 - 24S;183075,77;9325246,6;216,26;78,29;-60;132
DrillHole_0028;SIRGAS2000 - 24S;183026,88;9325188,96;219,77;105,62;-60;132
DrillHole_0029;SIRGAS2000 - 24S;182978,79;9325130,58;223,27;187,49;-60;132
DrillHole_0030;SIRGAS2000 - 24S;183114,38;9325214,5;216,77;56;-60;132
DrillHole_0031;SIRGAS2000 - 24S;182602,64;9324794,26;212,58;54,1;-60;132
DrillHole_0032;SIRGAS2000 - 24S;182856,05;9324934,04;221,34;92,77;-60;132
DrillHole_0033;SIRGAS2000 - 24S;183065,94;9325156,23;222,32;86,93;-60;132
DrillHole_0034;SIRGAS2000 - 24S;183153,01;9325181,96;217,46;44,48;-60;132
DrillHole_0035;SIRGAS2000 - 24S;183017,61;9325097,98;226,21;126,82;-60;132
DrillHole_0036;SIRGAS2000 - 24S;182676,46;9324836,29;218,93;54,82;-60;132
DrillHole_0037;SIRGAS2000 - 24S;183104,24;9325124,06;223,78;57,19;-60;132
DrillHole_0038;SIRGAS2000 - 24S;182763,19;9324873,88;223,01;62,77;-60;132
DrillHole_0039;SIRGAS2000 - 24S;183125,17;9325259,83;214,26;57,84;-60;132
DrillHole_0040;SIRGAS2000 - 24S;182924,48;9325061,57;226,41;157,76;-60;132
DrillHole_0041;SIRGAS2000 - 24S;182929,7;9325013,5;227,67;137,77;-60;132
DrillHole_0042;SIRGAS2000 - 24S;183022,15;9325143,54;222,34;167,84;-60;132
DrillHole_0043;SIRGAS2000 - 24S;182976,35;9325083,81;226,41;169,69;-60;132
DrillHole_0044;SIRGAS2000 - 24S;183070,51;9325201,53;219,71;84,88;-60;132
DrillHole_0045;SIRGAS2000 - 24S;182015,41;9325399,98;235,05;69,32;-60;90
DrillHole_0046;SIRGAS2000 - 24S;181909,98;9325399,99;231,99;82,61;-60;90
DrillHole_0047;SIRGAS2000 - 24S;182010,21;9325613,02;243,69;128,19;-60;90
DrillHole_0048;SIRGAS2000 - 24S;182060,18;9325612,97;248,96;97,78;-60;90
DrillHole_0049;SIRGAS2000 - 24S;182110,69;9325650;252,14;82,41;-60;90
DrillHole_0050;SIRGAS2000 - 24S;182010,13;9325447,99;237,22;59,13;-60;90
DrillHole_0051;SIRGAS2000 - 24S;181960,48;9325399,98;233,98;50,9;-60;90
DrillHole_0052;SIRGAS2000 - 24S;182010,49;9325512,96;239,97;76,78;-60;90
DrillHole_0053;SIRGAS2000 - 24S;182110,27;9325700,02;248,66;81,18;-60;90
DrillHole_0054;SIRGAS2000 - 24S;182060,18;9325649,96;247,04;124,75;-60;90
DrillHole_0055;SIRGAS2000 - 24S;182010,05;9325700;241,28;139,21;-60;90
DrillHole_0056;SIRGAS2000 - 24S;181910,07;9325449,99;233,43;82,55;-60;90
DrillHole_0057;SIRGAS2000 - 24S;182085,1;9325749,99;242,54;99,58;-60;90
DrillHole_0058;SIRGAS2000 - 24S;182134,59;9325749,98;242,3;57,16;-90;0
DrillHole_0059;SIRGAS2000 - 24S;182060,16;9325700;245,5;112,92;-60;90
DrillHole_0060;SIRGAS2000 - 24S;182010,44;9325649,98;243,13;145,66;-60;90
DrillHole_0061;SIRGAS2000 - 24S;182110,41;9325799,99;237,95;56,8;-60;90
DrillHole_0062;SIRGAS2000 - 24S;182134,96;9325849,98;232,56;74,45;-90;0
DrillHole_0063;SIRGAS2000 - 24S;182060,68;9325799,99;235,86;79,89;-60;90
DrillHole_0064;SIRGAS2000 - 24S;182110,34;9325900;225,99;63,89;-60;90
DrillHole_0065;SIRGAS2000 - 24S;181960,37;9325450;235,34;66,32;-60;90
DrillHole_0066;SIRGAS2000 - 24S;182060,88;9326100;220;105,92;-60;90
DrillHole_0067;SIRGAS2000 - 24S;182063;9326200,03;210,25;81,57;-60;90
DrillHole_0068;SIRGAS2000 - 24S;183071,97;9325152,97;222,29;74,16;-90;0
DrillHole_0069;SIRGAS2000 - 24S;182085,28;9325850,03;231,26;74,03;-60;90
DrillHole_0070;SIRGAS2000 - 24S;182085,2;9325949,97;215,2;88,02;-60;90
DrillHole_0071;SIRGAS2000 - 24S;181959,97;9325513,01;237,34;106,91;-60;90
DrillHole_0072;SIRGAS2000 - 24S;182084,88;9326050;216,07;71,95;-60;90
DrillHole_0073;SIRGAS2000 - 24S;182083,79;9326150,02;216,38;83,16;-60;90
DrillHole_0074;SIRGAS2000 - 24S;182059,87;9325999,99;217,92;74,79;-60;90
DrillHole_0075;SIRGAS2000 - 24S;182060,91;9325899,95;222,86;91,73;-60;90
DrillHole_0076;SIRGAS2000 - 24S;182111,24;9326100;214,8;63,71;-60;90
DrillHole_0077;SIRGAS2000 - 24S;182110,59;9326200,02;213,13;42,06;-60;90
DrillHole_0078;SIRGAS2000 - 24S;182109,89;9326000;212,15;44,57;-60;90
DrillHole_0079;SIRGAS2000 - 24S;182060,29;9326299,99;199,55;86,69;-60;90
DrillHole_0080;SIRGAS2000 - 24S;182108,85;9326400;210,56;73,75;-60;90
DrillHole_0081;SIRGAS2000 - 24S;182084,21;9326450,03;204,65;61,9;-60;90
DrillHole_0082;SIRGAS2000 - 24S;182069,7;9326399,99;208,6;83,13;-60;90
DrillHole_0083;SIRGAS2000 - 24S;182085,81;9326249,98;205,02;66,68;-60;90
DrillHole_0084;SIRGAS2000 - 24S;182102,3;9326488,52;203,31;49,81;-60;90
DrillHole_0085;SIRGAS2000 - 24S;182109,75;9326299,99;195,91;38,82;-60;90
DrillHole_0086;SIRGAS2000 - 24S;182983,82;9325175,6;220,73;213,94;-60;132
DrillHole_0087;SIRGAS2000 - 24S;182084,98;9326350,04;205,34;67,61;-60;90
DrillHole_0088;SIRGAS2000 - 24S;183032,42;9325233,77;217,2;126,02;-60;132
DrillHole_0089;SIRGAS2000 - 24S;182929,93;9325016,57;227,66;97,81;-90;0
