Hole Identificador;from_m;to_m;length_m;Lithology 1;Geology Description
DrillHole_0001;0;3,05;3,05;Solo Marrom;Material Cascalhoso, por vezes, apresentando fragmentos de rocha de até 8 cm de diâmetro. Trata-se de material contendo uma quantidade considerável de Magnetitoetita. Sua coloração é marrom escura. Provável Magnetitoetitito intemperizado. (Magnetito. = 40%)
DrillHole_0001;3,05;4,7;1,65;Rocha Calcissilicatica Magnetica;Material de coloração laranja. Apresentando alguma Magnetitoetita. O material também encontra-sebastante intemperizado e se apresenta de forma similar ao intervalo anterior: material casclhoso + material argilo-arenso. Provável rocha calcissilicática
DrillHole_0001;4,7;8,22;3,52;Rocha Calcissilicatica Magnetica;Rocha Calcissilicática. Apresenta carbonatação extrema. Tal carbonatação se dá de maneira disseminada e e preenchendo fraturas. Apresenta ainda uma quantidade de Magnetitoetita um pouco inferior em relação ao intervalo anterior.
DrillHole_0001;8,22;11,6;3,38;Rocha Calcissilicatica Magnetica;Rocha de coloração preta contendo grande quantidade de biotita e de um mineral que parece ser um óxido/hidróxido de Manganês (mancha as mãos ao toque e reage a água oxigenada). Pode ser caracterizada como Hidrotermalito rico em biotita e
DrillHole_0001;11,6;14,86;3,26;Rocha Calcissilicatica Magnetica;Rocha Calcissilicática saprolitizada contendo alguma Magnetitoetita. Apresenta coloração laranja e granulometria fina a média. (Magnetito aprox. 2%).
DrillHole_0001;14,86;16,49;1,63;Rocha Calcissilicatica Magnetica;Rocha Calcissilicática, F. Carbonatada. Apresenta-se de maneira extremamente fraturada e com foliação proeminentemente de alto ângulo. (70 a 90°= a'). A Magnetitoetita presente ocorre em menor quantidade em relação ao intervalo anterior (=2%).
DrillHole_0001;16,49;17,65;1,16;Rocha Calcissilicatica Magnetica;Rocha calcissilicática saporolitizada apresentando granulometria fina e quantidade de Magnetitoetita similar ao intervalo anterior (=2%).
DrillHole_0001;17,65;18,87;1,22;Rocha Calcissilicatica Magnetica;Rocha Calcissilicática intemperizada apresentando oxidação (causa da coloração laranja). A quantidade de Magnetitoetita é superior ao intervalo anterior (?8%).
DrillHole_0001;18,87;20,55;1,68;Rocha Calcissilicatica Nao Magnetica;Rocha Calcissilicática, F. Carbonatada. Contendo muito pouca ou nenhuma Magnetitoetita (traços).
DrillHole_0001;20,55;22,12;1,57;Rocha Calcissilicatica Nao Magnetica;Rocha calcissilicática apresentando carbonatação em vênulas. Não há presença de Magnetitoetita.
DrillHole_0001;22,12;25,2;3,08;Rocha Calcissilicatica Magnetica;Rocha Calcissilicática intemperizada (oxidada). Apresenta Magnetitoetita em sua composição essencial (5%).
DrillHole_0001;25,2;29,16;3,96;Rocha Calcissilicatica Nao Magnetica;Rocha Calcissilicática, F. Carbonatada, Apresentando foliação da ordem de 70°(a'). Não há prsença aparente de Magnetitoetita.
DrillHole_0001;29,16;40,17;11,01;Rocha Calcissilicatica Magnetica;Rocha Calcissilicática, F. Carbonatada contendo pequenas porções de tonalidade esverdeada, onde a carbonatação de apresenta em vênulas e em menor intensidade. Em 31.66 m ocorrem juntas de distenção aparentemente preenchiadas por Calcita.
